i,N,alpha,lb_y,ub_y,lb_u,ub_u,d_const,target_profile_equation,cost
29,23,0.01,-1e+20,1.4110961642787554,0.9764804721490573,2.5580429302354544,-20,"2+2*x1*x1+-3*x1",0.12088409066200256
30,88,0.01,-1e+20,0.5380784944357704,0.21081489024605504,1.1807175641499867,-30,"sin(4*pi*x2+pi/4)*sin(4*pi*x2+pi/4)",0.14465637505054474
31,28,0.01,-1e+20,1.24227439807344,0.497295562103669,0.9291154947797788,-20,"-2*x2*x2+2*x2+sin(3*pi*x1+pi/3)*sin(3*pi*x1+pi/3)",0.1583811491727829
32,72,0.01,-1e+20,-0.63428994467924,-0.7611339218589155,-0.34071335313663,-30,"5*x2*x2+-5*x2",0.0988750159740448
33,58,0.01,-1e+20,0.9886556782571068,-6.380514497111529,0.2774862771940436,-20,"-5*x1*x1+1*x1+sin(1*pi*x2+pi/5)*sin(1*pi*x2+pi/5)",0.06405235826969147
34,25,0.01,-1e+20,2.743292483625891,1.8772323807965956,3.064982947002648,-20,"2+sin(3*pi*x2+pi/2)*sin(3*pi*x2+pi/2)",0.1603943556547165
35,39,0.01,-1e+20,0.6380558835089696,0.388027392372538,1.0524638250832274,-30,"sin(4*pi*x2+pi/1)*sin(4*pi*x2+pi/1)",0.110035739839077
36,73,0.01,-1e+20,-4.1258339569783296,-4.732544098878829,-4.260975059240948,0,"-5+sin(3*pi*x1+pi/3)*sin(3*pi*x1+pi/3)",0.12066701054573059
37,77,0.01,-1e+20,0.705734333714694,0.164413839099525,1.4621362249074847,-10,"sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.07484232634305954
38,88,0.01,-1e+20,1.2978267380008,-4.41401645679602,4.558871454927063,-20,"1+-4*x1*x1+-1*x1+-4*x2*x2+3*x2+sin(5*pi*x2+pi/2)*sin(5*pi*x2+pi/2)",0.17087195813655853
39,35,0.01,-1e+20,-0.1698564819271423,-3.515755706093593,1.1166832902963857,-20,"0*x2*x2+-3*x2+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.07383126765489578
40,25,0.01,-1e+20,1.4424862537937941,0.347262452523901,1.5734646176002165,0,"2*x1*x1+0*x1",0.056939564645290375
41,77,0.01,-1e+20,0.948921683349025,0.3938624566365274,0.5105419318781724,-50,"sin(1*pi*x1+pi/5)*sin(1*pi*x1+pi/5)",0.17955905199050903
42,30,0.01,-1e+20,1.824157776861865,-3.247657913966007,2.434103305369587,-10,"-4+-1*x1*x1+3*x1+1*x2*x2+4*x2",0.05632002651691437
43,85,0.01,-1e+20,-2.195611508161633,-3.096861469114979,-2.491006502025476,-50,"-3+-4*x1*x1+4*x1",0.0700857937335968
44,16,0.01,-1e+20,-2.5931333915609933,-2.88552275628116,-0.7393953617687159,0,"-4+-5*x1*x1+5*x1+sin(2*pi*x2+pi/5)*sin(2*pi*x2+pi/5)",0.16653451323509216
45,24,0.01,-1e+20,2.28302076678027,-1.4848856844938547,2.584117015316364,-20,"4*x2*x2+-2*x2+sin(1*pi*x1+pi/5)*sin(1*pi*x1+pi/5)+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.09526269882917404
46,37,0.01,-1e+20,3.1618797637430873,-0.24397457031196756,2.47857602486543,-20,"-2*x1*x1+3*x1+0*x2*x2+2*x2+sin(3*pi*x2+pi/5)*sin(3*pi*x2+pi/5)",0.18048320710659027
47,73,0.01,-1e+20,-1.077040688186878,-2.1836895854497853,-1.478983456998384,-10,"-2+sin(2*pi*x2+pi/3)*sin(2*pi*x2+pi/3)",0.13343431055545807
48,52,0.01,-1e+20,4.944881006346989,4.323470495233732,5.229677341505939,0,"4+-4*x1*x1+4*x1",0.04889345169067383
49,36,0.01,-1e+20,1.4939164749211924,-0.06674992977117078,2.3027389911734693,0,"sin(1*pi*x1+pi/1)*sin(1*pi*x1+pi/1)+sin(4*pi*x2+pi/1)*sin(4*pi*x2+pi/1)",0.13552366197109222
50,35,0.01,-1e+20,0.9370233514835247,0.05483456117900065,1.0176506641067453,-10,"sin(4*pi*x1+pi/4)*sin(4*pi*x1+pi/4)",0.1370381861925125
51,47,0.01,-1e+20,4.355519230109249,-0.7026663341206374,5.612012973433005,0,"5*x2*x2+-1*x2+sin(1*pi*x1+pi/5)*sin(1*pi*x1+pi/5)",0.056706901639699936
52,14,0.01,-1e+20,0.46650416825849783,0.10124495474162443,0.8406367379736635,-40,"sin(2*pi*x2+pi/5)*sin(2*pi*x2+pi/5)",0.13317200541496277
53,67,0.01,-1e+20,-1.227070476222011,-1.562466729806919,-1.09967680264373,0,"-2+sin(5*pi*x1+pi/4)*sin(5*pi*x1+pi/4)",0.11490903049707413
54,99,0.01,-1e+20,5.384021530228037,2.7111581008634427,6.558714834848072,-10,"5+-2*x1*x1+-1*x1+sin(4*pi*x1+pi/5)*sin(4*pi*x1+pi/5)",0.18424099683761597
55,54,0.01,-1e+20,0.8392814398722781,0.49037138930845614,0.7310699456007468,0,"sin(4*pi*x1+pi/3)*sin(4*pi*x1+pi/3)",0.11406896263360977
56,90,0.01,-1e+20,0.4304424123675411,-2.5482670742687574,1.7434748562640903,0,"2*x1*x1+-3*x1+-1*x2*x2+0*x2+sin(1*pi*x2+pi/5)*sin(1*pi*x2+pi/5)",0.03582500293850899
57,45,0.01,-1e+20,0.8821050535906787,-6.552091056409446,-0.6088013839078874,-10,"1+0*x1*x1+-5*x1+0*x2*x2+-2*x2",0.09905730187892914
58,92,0.01,-1e+20,-1.3649466053009343,-1.5112924860226091,-1.3153672286814428,-10,"-2+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)",0.12444767355918884
59,91,0.01,-1e+20,0.8346877451717869,0.3868669672069712,0.6454252781660395,-10,"sin(3*pi*x1+pi/4)*sin(3*pi*x1+pi/4)",0.16436539590358734
60,64,0.01,-1e+20,-1.3186131775009233,-1.7000423762018197,-1.0502581573067458,-10,"-2+sin(2*pi*x1+pi/4)*sin(2*pi*x1+pi/4)",0.1340486854314804
61,30,0.01,-1e+20,0.06557397051172431,-2.6341542443868127,1.3014608629513256,-10,"-3*x1*x1+0*x1+-2*x2*x2+2*x2",0.028257666155695915
62,21,0.01,-1e+20,1.3565927416465384,0.5188234902176156,1.61797444393566,0,"0+sin(3*pi*x1+pi/6)*sin(3*pi*x1+pi/6)+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.13770557940006256
63,34,0.01,-1e+20,5.885028804042783,-3.874141578875367,6.164571578835242,-20,"5+-3*x2*x2+-3*x2+sin(5*pi*x1+pi/2)*sin(5*pi*x1+pi/2)",0.18458804488182068
64,100,0.01,-1e+20,0.7422895651345491,-0.359083611496652,0.640639062710926,0,"sin(1*pi*x1+pi/4)*sin(1*pi*x1+pi/4)",0.05488462746143341
65,39,0.01,-1e+20,2.503233495722575,-1.136761591083696,1.9019404247253684,-10,"2*x2*x2+1*x2",0.10465757548809052
66,71,0.01,-1e+20,-1.6788638017520294,-3.3763365348057386,-1.6124120538543771,0,"-3+sin(1*pi*x1+pi/2)*sin(1*pi*x1+pi/2)+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.09022494405508041
67,26,0.01,-1e+20,-1.1349733364108898,-3.4551708953928912,-0.3235518006384559,-10,"-3+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)+sin(2*pi*x2+pi/1)*sin(2*pi*x2+pi/1)",0.15126465260982513
68,25,0.01,-1e+20,0.703595512740227,0.2192852168249355,0.8445037421554321,-10,"sin(4*pi*x1+pi/3)*sin(4*pi*x1+pi/3)",0.12574245035648346
69,26,0.01,-1e+20,0.5988774410067869,-0.18647790238063577,0.8244172851911045,0,"-1+sin(2*pi*x1+pi/4)*sin(2*pi*x1+pi/4)+sin(4*pi*x2+pi/1)*sin(4*pi*x2+pi/1)",0.17275048792362213
70,93,0.01,-1e+20,-1.3075665202773425,-2.0570746816053997,-0.9808088559691875,0,"-2+1*x2*x2+0*x2",0.011796337552368641
71,49,0.01,-1e+20,3.102063093889982,2.382121234994347,3.9837492062712716,-20,"2+-2*x2*x2+2*x2+sin(5*pi*x2+pi/6)*sin(5*pi*x2+pi/6)",0.1406695395708084
72,10,0.01,-1e+20,7.007479543810335,-2.5678689106471895,6.932262252371258,-10,"4*x1*x1+2*x1+-4*x2*x2+5*x2+sin(1*pi*x1+pi/6)*sin(1*pi*x1+pi/6)",0.050087377429008484
73,49,0.01,-1e+20,-2.234650624967591,-2.7085802044029412,-1.701856806814387,-30,"-3+1*x2*x2+-1*x2+sin(4*pi*x2+pi/1)*sin(4*pi*x2+pi/1)",0.19533151388168335
74,47,0.01,-1e+20,-0.1875107957704083,-6.336996546343672,2.396442772104602,-10,"-1*x1*x1+-4*x1",0.04672252759337425
75,97,0.01,-1e+20,1.7175462049238601,-0.15726192633691505,2.1279529104414268,-10,"-2*x2*x2+3*x2+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.025911349803209305
76,40,0.01,-1e+20,-0.03623771009888799,-1.143189923626151,0.9921962485208571,-10,"-2*x2*x2+0*x2",0.1564670205116272
77,56,0.01,-1e+20,0.20336409843548353,-0.41212996902736077,0.044236553492535635,0,"0+1*x1*x1+-2*x1+sin(5*pi*x2+pi/5)*sin(5*pi*x2+pi/5)",0.13923484086990356
78,50,0.01,-1e+20,0.8117330260526147,0.05627450253302424,1.4624346035417362,-50,"sin(2*pi*x2+pi/1)*sin(2*pi*x2+pi/1)",0.08890562504529953
79,56,0.01,-1e+20,2.4023844150211087,-0.21519249991478606,2.146673812821711,0,"4*x1*x1+-4*x1+-2*x2*x2+5*x2",0.0722125917673111
80,68,0.01,-1e+20,0.6453758411151671,-1.589489043219126,1.637753676721647,0,"1*x1*x1+-2*x1+sin(4*pi*x1+pi/1)*sin(4*pi*x1+pi/1)",0.10161201655864716
81,21,0.01,-1e+20,1.6044847374016507,0.9458594510175347,2.5693777374072235,-40,"-5*x1*x1+5*x1+sin(2*pi*x1+pi/4)*sin(2*pi*x1+pi/4)",0.18246975541114807
82,85,0.01,-1e+20,4.867758331073652,4.262620077172158,5.023717985655287,-20,"4+sin(4*pi*x1+pi/4)*sin(4*pi*x1+pi/4)",0.17748500406742096
83,100,0.01,-1e+20,0.28075116592357985,-2.7566635178712966,0.9694679304166238,-10,"-2+-1*x2*x2+3*x2+sin(4*pi*x2+pi/5)*sin(4*pi*x2+pi/5)",0.12487225979566574
84,66,0.01,-1e+20,1.94508818594874,-1.2997477290593717,1.1698895788326342,0,"1+4*x1*x1+-5*x1+sin(1*pi*x2+pi/4)*sin(1*pi*x2+pi/4)",0.06135687232017517
85,46,0.01,-1e+20,-3.388596524130614,-3.759872586884416,-3.2618810885975584,-40,"-4+sin(3*pi*x1+pi/3)*sin(3*pi*x1+pi/3)",0.1686655431985855
86,47,0.01,-1e+20,-0.17714786452157227,-2.2009006065103676,1.3403584756014864,-10,"0+-1*x1*x1+-2*x1",0.1655496060848236
87,43,0.01,-1e+20,-1.1316411975619998,-3.294886717730499,-1.7034429912894613,-10,"-3+sin(1*pi*x1+pi/3)*sin(1*pi*x1+pi/3)+sin(3*pi*x2+pi/3)*sin(3*pi*x2+pi/3)",0.19235557317733765
88,17,0.01,-1e+20,-0.5731018692884875,-3.755649372201543,0.5024169761139161,0,"0*x1*x1+-4*x1",0.02811485156416893
89,25,0.01,-1e+20,1.791213125994985,0.05935918197309942,1.0209573219010464,0,"5*x2*x2+-4*x2+sin(3*pi*x1+pi/5)*sin(3*pi*x1+pi/5)",0.19035381078720093
90,80,0.01,-1e+20,0.5205133724803163,0.3995066931692346,1.4193193717085653,-50,"sin(5*pi*x1+pi/4)*sin(5*pi*x1+pi/4)",0.1831563264131546
91,40,0.01,-1e+20,-1.6276118557189723,-2.1746365723807712,-1.3693289904619896,-10,"-1+4*x1*x1+-4*x1",0.1831563413143158
92,15,0.01,-1e+20,4.712157785404354,3.747504958640603,5.123184985039104,0,"4+sin(5*pi*x2+pi/2)*sin(5*pi*x2+pi/2)",0.10642314702272415
93,52,0.01,-1e+20,-0.13379882327496295,-5.120026981016305,1.4291686370593464,-10,"-1*x1*x1+-4*x1",0.048015695065259933
94,33,0.01,-1e+20,0.7327928564027719,0.3103839434306135,0.6751034103563353,0,"-3*x1*x1+3*x1",0.021292012184858322
95,65,0.01,-1e+20,5.532214258395827,5.495840680001237,6.163837700034513,-10,"5+sin(2*pi*x2+pi/5)*sin(2*pi*x2+pi/5)",0.12320950627326965
96,30,0.01,-1e+20,0.7492950370943727,-0.13253786551824687,1.3622341308838133,-40,"sin(4*pi*x1+pi/2)*sin(4*pi*x1+pi/2)",0.14300009608268738
97,63,0.01,-1e+20,1.9055723144994783,0.3223816000246664,2.145127558565748,0,"1*x2*x2+1*x2",0.025371352210640907
98,57,0.01,-1e+20,2.6949087917510868,-2.6575717014342226,2.527295169533727,0,"-1+4*x2*x2+-1*x2+sin(3*pi*x2+pi/3)*sin(3*pi*x2+pi/3)",0.11740954965353012
99,31,0.01,-1e+20,-3.2497959161022756,-3.934594585335367,-2.776132091199891,-20,"-4+sin(3*pi*x2+pi/4)*sin(3*pi*x2+pi/4)",0.14830833673477173
100,37,0.01,-1e+20,-2.491810676477918,-5.788502977937167,-1.7447605367770556,0,"-5+1*x1*x1+1*x1+sin(2*pi*x2+pi/5)*sin(2*pi*x2+pi/5)",0.09576240181922913
101,70,0.01,-1e+20,-1.2014319057250675,-2.4322879780028765,-1.248411978504369,-10,"-2+sin(1*pi*x1+pi/2)*sin(1*pi*x1+pi/2)",0.14726749062538147
102,34,0.01,-1e+20,-2.726907365598968,-2.6918322976480655,-1.5439184801450945,-50,"-2+1*x2*x2+-2*x2",0.09236501902341843
103,51,0.01,-1e+20,1.9477780171882042,0.6475194053174049,1.9120223752976144,0,"-3*x1*x1+2*x1+-3*x2*x2+5*x2",0.15881945192813873
104,35,0.01,-1e+20,0.5048215252870929,0.1172654931200634,0.8445538667199408,-30,"sin(3*pi*x2+pi/6)*sin(3*pi*x2+pi/6)",0.13585302233695984
105,72,0.01,-1e+20,-3.51880322758997,-4.076253474638832,-3.1983890846636087,-20,"-5+-2*x1*x1+3*x1+sin(1*pi*x1+pi/4)*sin(1*pi*x1+pi/4)",0.06198364123702049
106,93,0.01,-1e+20,5.708961346701294,5.263468392947129,6.470279135469741,0,"5+sin(4*pi*x2+pi/3)*sin(4*pi*x2+pi/3)",0.13742035627365112
107,78,0.01,-1e+20,-3.0718238625626566,-3.134878928544649,-1.3582823880333608,-10,"-3+4*x2*x2+-4*x2+sin(3*pi*x1+pi/4)*sin(3*pi*x1+pi/4)",0.19611449539661407
108,48,0.01,-1e+20,-3.3554753343534536,-3.600463491707055,-2.5212387050104677,-10,"-4+sin(4*pi*x2+pi/6)*sin(4*pi*x2+pi/6)",0.12332606315612793
109,75,0.01,-1e+20,3.679518349595667,1.625510046559952,4.577019263852279,0,"3+3*x2*x2+-2*x2+sin(1*pi*x1+pi/5)*sin(1*pi*x1+pi/5)",0.130410298705101
110,47,0.01,-1e+20,1.5592544996619366,0.35404339535401697,2.076631220397738,0,"-2*x2*x2+2*x2+sin(2*pi*x1+pi/2)*sin(2*pi*x1+pi/2)+sin(3*pi*x2+pi/3)*sin(3*pi*x2+pi/3)",0.18551917374134064
111,100,0.01,-1e+20,3.8510504937284877,2.1894504436697435,4.249883878784889,0,"2+-2*x2*x2+3*x2+sin(4*pi*x1+pi/1)*sin(4*pi*x1+pi/1)",0.1297142505645752
112,23,0.01,-1e+20,4.600903486404175,-1.8001751230390601,4.8966373352732395,0,"-2*x1*x1+5*x1+-4*x2*x2+5*x2+sin(4*pi*x2+pi/2)*sin(4*pi*x2+pi/2)",0.191667839884758
113,38,0.01,-1e+20,1.8420884139496743,0.8711329701649224,1.4574246033136393,-10,"-3*x2*x2+5*x2",0.17652975022792816
114,19,0.01,-1e+20,0.4653985358835938,-0.3800439624498756,1.0982663853695973,-30,"0+sin(1*pi*x2+pi/6)*sin(1*pi*x2+pi/6)",0.16944749653339386
115,56,0.01,-1e+20,-1.872311540392624,-3.2215467564639697,-1.1617063225536848,0,"-2+-2*x2*x2+0*x2+sin(1*pi*x2+pi/1)*sin(1*pi*x2+pi/1)",0.184136763215065
116,14,0.01,-1e+20,-2.6618431676387595,-3.9986615840917437,-1.9786298548916295,0,"-4+-2*x1*x1+3*x1+sin(3*pi*x1+pi/5)*sin(3*pi*x1+pi/5)",0.12192564457654953
117,10,0.01,-1e+20,5.120328637710196,-5.35079159798339,6.093520922029675,0,"4+-3*x1*x1+-2*x1+3*x2*x2+-5*x2+sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)+sin(5*pi*x2+pi/3)*sin(5*pi*x2+pi/3)",0.14924992620944977
118,13,0.01,-1e+20,1.3586414573586547,-0.27793518739879386,0.8733024784231109,-10,"-4*x1*x1+5*x1",0.046789608895778656
119,44,0.01,-1e+20,-0.04014666345702045,-5.933966828141761,0.34877400219534893,-10,"0+0*x2*x2+-5*x2",0.05893276631832123
120,57,0.01,-1e+20,-3.011051712947477,-7.823931476541374,-2.156573890564507,-10,"-4+1*x2*x2+-4*x2+sin(3*pi*x1+pi/1)*sin(3*pi*x1+pi/1)",0.19014441967010498
121,89,0.01,-1e+20,4.1814854703972895,2.5344114792511125,4.917485442067916,0,"4+1*x1*x1+-2*x1+sin(1*pi*x1+pi/6)*sin(1*pi*x1+pi/6)",0.08320532739162445
122,32,0.01,-1e+20,0.6692301398023,0.23080932752331862,1.1700103854340684,-40,"sin(4*pi*x2+pi/4)*sin(4*pi*x2+pi/4)",0.14183774590492249
123,92,0.01,-1e+20,2.7531664771527726,0.27072897334877366,3.236451866716782,0,"0+1*x1*x1+3*x1",0.18250775337219238
124,23,0.01,-1e+20,-3.005345392986413,-6.014367128973559,-2.7873611990078397,-10,"-4+-2*x1*x1+1*x1+sin(5*pi*x2+pi/4)*sin(5*pi*x2+pi/4)",0.13363543152809143
125,20,0.01,-1e+20,-0.2065255256074875,-4.17082855800792,-0.494101604289618,-10,"-2*x1*x1+-1*x1",0.026199117302894592
126,95,0.01,-1e+20,0.8734296747465884,-1.1849744681380179,2.2435803851005103,0,"4*x2*x2+-2*x2",0.10509137064218521
127,74,0.01,-1e+20,-4.367131650283135,-5.401708175037423,-4.995094314736934,0,"-5+1*x1*x1+-2*x1+sin(4*pi*x1+pi/5)*sin(4*pi*x1+pi/5)",0.1870778650045395
128,45,0.01,-1e+20,1.1192134456755884,0.3338382235460883,0.9868321130294264,-20,"1*x1*x1+0*x1+sin(2*pi*x1+pi/6)*sin(2*pi*x1+pi/6)",0.17028872668743134
129,12,0.01,-1e+20,-4.262120121638489,-5.285037609956036,-4.498669479276806,-30,"-5+sin(2*pi*x2+pi/6)*sin(2*pi*x2+pi/6)",0.12344760447740555
130,77,0.01,-1e+20,-3.075919520423606,-4.011372431008051,-2.6321040941819303,-10,"-4+sin(3*pi*x2+pi/4)*sin(3*pi*x2+pi/4)",0.14406925439834595
131,98,0.01,-1e+20,6.019648827921944,4.500394594650679,6.942269357333387,0,"4+0*x1*x1+2*x1+sin(1*pi*x1+pi/1)*sin(1*pi*x1+pi/1)",0.10276010632514954
132,39,0.01,-1e+20,0.501303755848016,-2.2516054391907936,1.5495099735973374,-10,"-4*x1*x1+2*x1+sin(1*pi*x1+pi/4)*sin(1*pi*x1+pi/4)",0.17689070105552673
133,96,0.01,-1e+20,0.5563437739439319,-0.3974198584782564,1.2830767668666687,-10,"sin(2*pi*x1+pi/4)*sin(2*pi*x1+pi/4)",0.1995205581188202
134,78,0.01,-1e+20,1.1297330954720999,-1.3242577021005193,2.3137219093140176,-10,"-4*x1*x1+3*x1+sin(3*pi*x1+pi/6)*sin(3*pi*x1+pi/6)",0.09324438124895096
135,50,0.01,-1e+20,0.9871276642296285,-0.03824967089675746,1.314778700308728,-40,"sin(2*pi*x1+pi/5)*sin(2*pi*x1+pi/5)",0.18012043833732605
136,23,0.01,-1e+20,0.625942462202807,0.19223661504356948,0.5323318661888324,-30,"1*x1*x1+-1*x1+sin(3*pi*x2+pi/4)*sin(3*pi*x2+pi/4)",0.1477845162153244
137,43,0.01,-1e+20,-3.3112716479217332,-4.120961763057267,-2.9660424176713978,0,"-4+sin(3*pi*x2+pi/5)*sin(3*pi*x2+pi/5)",0.10697756707668304
138,88,0.01,-1e+20,0.45911969081969345,-0.07773471317899483,0.7162576479307283,-40,"1*x2*x2+-1*x2+sin(5*pi*x2+pi/6)*sin(5*pi*x2+pi/6)",0.15302081406116486
139,10,0.01,-1e+20,0.8162232324377178,0.36942249622758205,1.0970143819304605,-10,"sin(3*pi*x1+pi/1)*sin(3*pi*x1+pi/1)",0.10787934064865112
140,87,0.01,-1e+20,0.6904831076612602,-0.09262354956749314,0.8157503135400086,0,"sin(5*pi*x2+pi/6)*sin(5*pi*x2+pi/6)",0.10794272273778915
141,40,0.01,-1e+20,-1.061900066251236,-1.582642042764105,-1.0016117772521778,-50,"-2+sin(1*pi*x1+pi/1)*sin(1*pi*x1+pi/1)",0.1785387098789215
142,14,0.01,-1e+20,4.430521541689156,-1.302994029403115,5.404530749557116,0,"1*x1*x1+4*x1",0.022523634135723114
143,71,0.01,-1e+20,0.5823634846505058,0.4972791799572541,0.5221311391044667,0,"sin(1*pi*x2+pi/2)*sin(1*pi*x2+pi/2)",0.11379266530275345
144,52,0.01,-1e+20,6.464069683196226,5.027712147064891,7.078457164748538,0,"5+-2*x1*x1+2*x1+sin(4*pi*x1+pi/3)*sin(4*pi*x1+pi/3)",0.14882715046405792
145,10,0.01,-1e+20,1.614531953207114,-3.1411349811949902,2.377303547194946,-20,"1*x1*x1+0*x1+-4*x2*x2+2*x2+sin(3*pi*x2+pi/4)*sin(3*pi*x2+pi/4)",0.10681579262018204
146,93,0.01,-1e+20,4.048641498686899,-4.085490549285263,7.324225771083357,-20,"1+-2*x1*x1+5*x1+-5*x2*x2+1*x2+sin(5*pi*x1+pi/6)*sin(5*pi*x1+pi/6)",0.13399875164031982
147,98,0.01,-1e+20,-4.2067233879308965,-5.064385392511308,-4.246782955448176,0,"-5+sin(3*pi*x1+pi/6)*sin(3*pi*x1+pi/6)",0.12152212858200073
148,99,0.01,-1e+20,4.924794761304746,3.5695951770238494,4.876338345921583,0,"4+sin(3*pi*x1+pi/2)*sin(3*pi*x1+pi/2)",0.1360723227262497
